Student statement,Expert3,Category Chat
"Communication with external systems, such as e-commerce platforms and delivery services, to track and manage packages. Secure data exchange to ensure accurate packet handling.",Technical,"Technical, Business, Ethical"
"Implemented security measures to protect packages and user data. This includes surveillance cameras, motion sensors and access controls.",Technical,"Technical, Business, Ethical"
"Developing such a system would require a multidisciplinary team of engineers, including software developers, hardware engineers, UX/UI designers, system architects, and quality assurance specialists. The size of the engineering team would depend on the scope and timeline of the project, as well as the expertise required ",Economic,"Technical, Business, Economic"
"The organizational structure of the development team may include: Project Managers - Oversee overall project planning, resource allocation, and schedule management, Engineering Managers - responsible for coordinating the efforts of various engineering teams and ensuring alignment with project goals,  Cross-functional teams that focus on specific aspects of the system, such as software development, hardware design, user experience and integration, Quality assurance and testing teams responsible for verifying system functionality, performance and security, Support and maintenance teams responsible for continuous system monitoring,
updates and customer support",Business,"Business, Technical"
"With a large number of users or during periods of high demand, the system must be designed to efficiently scale and handle increased traffic. This may include deploying redundant hardware components for load balancing and failover, optimizing software algorithms for performance, and implementing dynamic resource allocation strategies. Capacity monitoring and planning would be key to predicting and mitigating potential issues that may affect service availability.",Technical,"Technical, Business, Economic"
"During periods of high demand for the vending machine service, such as holidays or promotional events, the organization should have mechanisms in place to dynamically scale resources, adjust staffing levels accordingly, and prioritize critical tasks. Customer support teams would be key to responding to customer queries, resolving issues quickly and ensuring a positive customer experience during periods of high demand.",Economic,"Business, Technical, Economic, Social"
"Regulatory compliance: ensuring compliance with relevant regulations and standards governing package handling, data privacy and consumer protection",Political,"Business, Technical, Ethical, Political"
"Logistics: managing the logistics of setting up and maintaining physical machines at different locations, including installation, maintenance and replenishment of consumables",Technical,"Technical, Business, Economic"
"Supply chain management: coordination with suppliers and vendors for the procurement of components, spare parts and consumables necessary for the maintenance and operation of the system",Business,"Business, Technical"
"Infrastructure: procurement and provision of sufficient infrastructure, including server resources, network bandwidth and physical hardware components, to support system operation and scalability",Technical,"Technical, Business, Economic"
Inventory Management: Optimizing inventory levels for spare parts and consumables to reduce inventory and ensure timely replenishment,Business,"Business, Economic, Technical"
Implementation planning: creating a strategy for introducing new functionality or system updates to minimize disruption to existing users and maximize adoption,Technical,"Technical, Business, Social"
Security alarm: Sensor in case of a violent attempt to open the locker with the package. Triggering of the alarm after the application of a certain illegal force on the cabinet.,Technical,"Technical, Business, Ethical"
"Humidity and temperature sensor: This information can be used to ensure that packages are stored in optimal conditions, especially for items that are sensitive to temperature or humidity.",Technical,"Technical, Business"
"Predictive Maintenance: Using BD analytics to predict equipment failures, maintenance needs and performance degradation based on historical data and machine learning models. Implementation of a predictive maintenance strategy to plan maintenance activities more effectively, minimize downtime and optimize equipment life",Technical,"Technical, Business, Economic"
"An industrial control system is a complex structure consisting of several key components such as hardware, software, people, data, and network components. Although each of these components is crucial to the functionality of the system, and has its own set of vulnerabilities and protection methods, the network component, by expanding the system and connecting to the outside world, becomes the most vulnerable part of the ICS.",Technical,"Technical, Business, Economic"
specific protocols used in the industrial environment suffer in difference in protocols and their incompatibility,Technical,Technical
" these protocols are very vulnerable from a security perspective and until recently, data sent via them was not encrypted",Technical,"Technical, Business, Ethical"
"manufacturers prefer their own protocol, but at the Ethernet level the situation is different because the same hardware can implement different Ethernet protocols",Technical,"Technical, Business"
"these protocols were created as internal solutions at the level of individual companies, and their use is tied to the hardware of the same manufacturer. For such an application that is explicitly closed within the factory premises, data protection was not a priority. ",Technical,"Technical, Business, Ethical"
"it is possible that key data for process control is not forwarded from the controller (PLC) to the user interface (HMI), and the operator is misled about the current state of the process and does not react when necessary.",Technical,"Technical, Business, Ethical"
it is necessary to emphasize the importance of preserving data integrity in specific conditions such as the production process,Technical,"Technical, Business, Ethical"
"It is generally known that intangible data can easily disappear or be compromised. Therefore, an updated backup copy has always been the basic measure for protecting its integrity.",Technical,"Technical, Business, Ethical"
" However, in the domain of process control, this data does not only refer to common documentation such as diagrams, schemes, instructions, procedures, log files (alarm history, event history) etc. In a continuous production process, data is exchanged between various field devices, controllers and HMI interfaces, depending on the type of process, at high speed, and this involves a large amount of data that is crucial for maintaining process continuity. In the event of an interruption, it is difficult to ensure that the interrupted industrial process continues smoothly as soon as possible, even if all other elements are preserved. procedure for returning various virtual copies of software (Virtual machine) will be fully successful in a short time only if it includes ""golden records"". It is a kind of data image of the current state of the process that can be regenerated in an instant. Of course, this is only possible if such a set of data can be successfully collected and stored in real time. In this sense, flawless network functionality is key to significantly saving process recovery time.",Technical,"Technical, Business, Economic"
" IIoT enables the transfer of key information directly to the network (communication infrastructure), which greatly increases the level of data availability and the possibility of analyzing them in real time.",Technical,"Technical, Business, Economic"
"The basic philosophy of IIoT is based on the premise that smart devices are far better than humans when it comes to retrieving data, analyzing it in real time, and noticing important information important for quick and precise interventions in the system. The above has significant potential in the domain of quality control, sustainable development (sustainable and green practices), predictive maintenance (predictive maintenance), electricity distribution. energy (energy management, smart city), supply chain traceability and overall supply chain efficiency, etc",Business,"Technical, Business, Economic, Social, Ethical"
"investment in process industry, energy, transport, logistics, and infrastructure has quadrupled compared to 2015. With such a rapid growth in investments, it is logical that the IIoT will have an increasing impact on the stability of industrial processes.",Business,"Business, Economic, Technical"
"due to the specific nature of smart devices with advanced communication capabilities, the pressure on the security of the ICS network component is even greater",Technical,"Technical, Business, Ethical"
An IIoT network usually consists of an extremely large number of small switching devices (embedded devices) with a long lifespan which makes them very reliable.,Technical,"Technical, Business"
"Some of the IIoT devices do not have any possibility of updating, and it is necessary to carefully and carefully approach the selection of such devices (the number of which can reach several thousand) and their inclusion in the existing production network.",Technical,"Technical, Business, Economic"
"IIoT devices that are becoming critical points of attack, and that from a network that until now was considered safe if it was isolated from the corporate network",Technical,"Technical, Business, Ethical"
"Although the security of industrial control systems is a comprehensive issue, it is necessary to not only recognize its complexity, but also certain differences between individual functional units within the system in relation to the time period that was available for security issues.",Technical,"Technical, Business, Ethical"
Functional safety assessment is a well-established practice in process automation. These assessments focus on random hardware failures or system software errors (such as omissions or errors in code).,Technical,"Technical, Business"
"cybersecurity risks (cyber risk) it is necessary to conduct a cybersecurity assessment and a cybersecurity risk assessment. Functional safety standards are now beginning to require a cybersecurity risk assessment” (Control engineering, issue 03-2017)",Technical,"Technical, Business, Ethical"
Every Industrial Control System in a broad sense has certain weaknesses depending on its configuration and purpose,Technical,"Technical, Business"
"The size and branching of the system is also one of the factors that affect security. The larger the system, the greater the probability of an error.",Technical,"Technical, Business"
"the size of the system is usually associated with various legacy subsystems that are often outdated, but to some extent integrated, which often represents an additional critical element in terms of security.",Technical,"Technical, Business, Economic, Ethical"
Weak network architecture in terms of security.(system vulnerability),Technical,"Technical, Business, Ethical"
 Passwords are not encrypted in transit.(system vulnerability),Technical,"Technical, Ethical"
Network device configurations are not properly stored or backed up.(system vulnerability),Technical,"Technical, Business, Economic"
Passwords for accessing network devices are not changed regularly.(system vulnerability),Technical,"Technical, Business, Ethical"
There are no data access control lists (Access Control Lists)(system vulnerability),Technical,"Technical, Ethical"
Poorly and misconfigured network security devices. (no defined routes on firewalland route(system vulnerability),Technical,"Technical, Business, Economic"
Lack of redundancy for critical parts of the network.(system vulnerability),Technical,"Technical, Business, Economic"
Inadequate physical protection of network equipment.(system vulnerability),Technical,"Technical, Business, Economic"
Danger of overheating of network equipment (system vulnerability),Technical,"Technical, Business, Ethical"
Open access for staff to critical network components. (system vulnerability),Technical,"Technical, Business, Ethical"
Allowed access to the system via USB keys and similar media.(system vulnerability),Technical,"Technical, Business, Ethical"
Undefined access control. (system vulnerability),Technical,"Technical, Ethical"
The firewall does not exist or is incorrectly configured. (system vulnerability),Technical,"Technical, Business, Economic"
"The network at the OT level is used for inadequate traffic (web browsing, e-mail…) (system vulnerability)",Technical,"Technical, Business, Ethical"
" Network services used at the OT level are not located within the ICS (DHCP, DNS,etc.",Technical,"Technical, Business"
There is no security monitoring of the network at the ICS level.,Technical,"Technical, Business, Ethical"
inadequate firewall and router log files make it difficult to monitor network events,Technical,"Technical, Business, Economic"
Inadequate authentication between client and AP (access point).,Technical,Technical
Inadequate data protection between client and AP(access point).,Technical,"Technical, Ethical"
Some fundamental shortcomings in systems security are the result of an unprofessional approach and lack of knowledge of security in network systems. This is difficult to correct without the additional involvement of IT experts of the appropriate profile. ,Technical,"Technical, Business, Ethical"
"Unfortunately, awareness of the need for specific expertize and knowledge at the management level often does not exist until a critical situation arises.",Business,"Business, Social, Ethical"
"Cyber risk is generally considered a function of three variables: threat, system vulnerability, and consequence. In the domain of cybersecurity, a threat is an external initiating event that aims to destabilize a system. Vulnerability is a specific weakness in a system that allows a threat to be realized, while a consequence is the undesired outcome of a realized threat.",Technical,"Technical, Business, Ethical"
"To begin evaluating the system, it is necessary to analyze the network communication in order to understand how the network is structured and what the data flow is like (data flow).",Technical,"Technical, Business"
"it is necessary to analyze the protocols used, and the possible existence of communication with protocols that should not be in use, or at least should not be used between certain devices.",Technical,"Technical, Business, Ethical"
"It is necessary to divide the system into logical zones so that the system can be better analyzed and more efficient protection can be applied at the level of individual zones, and communication between zones can be limited.",Technical,"Technical, Business"
"A Cyber risk assessment is a very good way to familiarize management with the current situation in order to plan future funding needs. ""Most organizations want to understand what the real cyber risks are. ",Technical,"Business, Technical, Economic"
"until the beginning of this century was partly shaped by the lack of statistical data on the cybersecurity of industrial control systems. The reason for this is the relatively short period of time that is, a short history of documented incidents in IT security before 2000. ""A large number of organizations are very reluctant to report a security incident because they see it as a potential embarrassment. In fact, many organizations have denied the existence of cyber attack risks on industrial systems at all.(Byres, Eric; ""The myths and the facts behihd cyber security risks for industrial control systems"", 2013",Social,"Technical, Business, Social, Ethical"
"According to the data from various sources, it is obvious that the source of threats to ICS has changed significantly, that is, the external source has more than doubled. Such a change can be partially explained by the entry of Windows OS into industrial plants, and the integration of TCP/IP protocols into ICS.",Technical,"Technical, Business, Economic"
"there are many entry points for secutity threads into today's SCADA, i.e. ICS systems, and it is not possible to focus the protection of such systems exclusively on the
Internet access point.",Technical,"Technical, Business, Ethical"
"The brewing process consists of many interrelated stages such as malting, mashing, garnishing, brewing, cooling, fermentation, maturation, filtration and packaging. Each stage depends on the correct performance of the previous stage. The quality and characteristics of the raw materials (water, barley, hops, yeast) interact and affect the final product. A small change in one part of the system (eg changing the type of hops) can significantly affect the taste of the beer.",Technical,"Technical, Business"
"The fermentation process is non-linear as the rate of fermentation can increase exponentially depending on temperature and sugar concentration. Small changes in conditions can lead to big ones change in outcome. Quality control,we check, control and test the beer in all stages production process. ",Technical,"Technical, Business"
We use high-quality raw materials in sustainable processes that are led and supervised by qualified and experienced experts.,Business,"Business, Technical, Ethical"
"The emergent behaviour of the production process is reflected through Taste and Aroma: The final taste and aroma of beer is not a simple sum of individual ingredients, but the result of complex chemical reactions and interactions that occur during the entire production process. Consistency: The consistent taste of beer in large batches is the result of precise control and adjustment of all interdependent processes.",Technical,"Technical, Business"
Recipe Adjustment: Breweries often adjust their recipes and processes based on feedback from previous batches and changes in raw materials. This ability to adapt is essential to maintain quality and meet market demands. ,Business,"Business, Technical"
Technological Innovations: The introduction of new technologies and methods (such as advanced sensors and automation) enables breweries to quickly adapt to changes in production conditions and market demands.,Technical,"Technical, Business, Economic"
"Changing Conditions: Brewery production conditions, such as temperature and humidity, can change over time, requiring constant monitoring and adjustment to maintain quality. ",Technical,"Technical, Business"
"Market Demands: Breweries must dynamically adapt to changing consumer preferences and regulatory requirements, which further adds to the complexity of the system.",Business,"Business, Technical, Political"
"Machine operators operate and maintain automated equipment, overseeing every step of the production process. Quality controllers conduct analyzes and ensure that each step of the process meets the required quality standards. Technical Staff, Engineers and technicians responsible for maintenance and calibration of automated systems and sensors.",Technical,"Technical, Business"
"Production managers are responsible for the overall coordination of the production process, including planning, monitoring and optimization. Quality Managers develop and implement strategies to ensure product quality and consistency. Logistics Managers plan and coordinate the procurement of raw materials and the distribution of finished products.",Business,"Business, Technical"
"Scientists and Engineers are working on developing new recipes, fermentation techniques and improving existing production processes. Data analysts analyze data collected during production to optimize processes and  improve product quality.",Business,"Technical, Business, Economic"
"Entire factory system should secure Consistency of quality, appearance, smell, taste. Safety, quality of beer, integrity of packaging.
",Social,"Technical, Business, Social, Ethical"
"Entire factory system should secure Precision of delivered output, e.g. taste of beer or cookie.",Business,"Technical, Business"
"Entire factory system should secure  factory Efficiency, by reduction of loss of raw materials, process optimization, reduction of production time, reduction of costs.
",Business,"Technical, Business, Economic"
"Entire factory should secure Transparency, in product information across the factory, access to quality data from all factory divisions, communication with consumers, certificates and standards.",Ethical,"Business, Technical, Ethical"
"Entire factory should secure Adaptability ensuring process flexibility, quick reaction to external changes, fast integration of new technologies",Business,"Technical, Business, Economic"
"Manufacturing: The system should have solid procedures and control points throughout the manufacturing process to ensure consistency in each batch of product. This includes strict monitoring of the recipe, mixing, fermentation, filtering, bottling and packaging processes",Technical,"Technical, Business"
"Quality Control: This function is essential to ensure consistency of product quality. The system should have mechanisms for checking the quality of raw materials, monitoring the production process and testing finished products to ensure that each product meets quality standards.",Technical,"Technical, Business"
Storage and logistics: The system should have built-in mechanisms for proper storage of finished products in order to preserve their quality and freshness. It should also enable efficient logistics to deliver products to end users in optimal condition.,Technical,"Technical, Business"
Equipment maintenance: Regular maintenance of equipment and systems is essential to ensure continuous operation and prevent any problems that could affect product quality.,Technical,"Technical, Business, Economic"
"Communication with users: The system should enable communication with end users to collect feedback on product quality, but also to provide user support and product information.",Social,"Technical, Business, Social"
Monitoring and reporting: Monitoring key performance indicators and generating reports gives managers insight into how the system is performing and enables identification of areas for improvement.,Business,"Business, Technical"
"Production capacity: A brewery may reach maximum production capacity, which leads to the need to expand capacity, acquire additional equipment and hire additional staff.",Economic,"Business, Economic, Technical"
Product quality: Rapid growth can affect the consistency of product quality due to system overload and possible reductions in storage time.,Business,"Technical, Business, Economic"
Distribution: More efficient logistics and distribution channels are needed to meet greater market needs.,Business,"Business, Technical, Economic"
"Excess inventory: A brewery may have excess inventory that is not being sold, which can lead to increased storage costs and possible product spoilage.",Business,"Business, Economic"
"Financial losses: A decrease in income can threaten the financial stability of the company, which can result in a reduction in the number of employees or a decrease in investment in equipment and technology.",Economic,"Business, Economic"
"Equipment maintenance: Equipment may be underutilized, which may increase maintenance costs per unit of product.",Technical,"Technical, Economic, Business"
"Depending on how the change in the number of users occurred, companies can in some way fight against such situations, such as placing new products on the market or improving marketing. and working on the rebranding of some products, such as changing the appearance of the packaging in order to better represent the product or, for example, to try to get closer to its largest group of users.",Business,"Business, Economic, Social"
"precise production planning is needed to adapt to seasonal variations in demand, to achieve flexible employment of seasonal workers and contracting of raw material suppliers to reduce costs in periods of
lower demand.",Economic,"Business, Economic, Technical"
"the technological progress of the company is important, because then the company can adapt much more easily to changes in production requirements. It is much cheaper to pay for the maintenance of a robot than to pay for surplus labor that appears in the off-season.",Business,"Technical, Business, Economic"
"Lack of raw materials: Problems in the supply of barley, hops or yeast can lead to a reduction in production and changes in the recipe.",Economic,"Business, Economic"
"Price increase: Rising raw material prices can increase production costs, which may require beer prices to increase or margins to decrease.",Economic,"Economic, Business"
Quality of raw materials: Variability in the quality of raw materials can affect the consistency of taste and quality of beer.,Technical,"Technical, Business, Economic"
Labor shortages: Difficulties in finding skilled labor can slow production and increase the cost of training new employees.,Economic,"Business, Economic, Social"
"Labor costs: Increases in minimum wages and labor costs can affect total production costs, requiring process optimization to maintain profitability.",Economic,"Economic, Business, Political"
"robots replacing human labor enable greater resistance to such cases. On the other hand they require a large financial investment, which sometimes does not pay off, and problems surrounding the integration of such systems into another complex system.",Economic,"Technical, Business, Economic"
"Energy resources: Increases in energy prices can affect production costs, especially in energy-intensive processes such as cooking and cooling.",Economic,"Economic, Business"
"Water: during the production of beer, there is also a great dependence on quality and available water",Economic,"Technical, Business, Economic, Social, Ethical"
"A brewery system can be very sensitive to external changes, but with the right strategies and adjustments, it can increase its resilience and maintain stable production and product quality. Technological Innovation is important because the introduction of advanced technologies and automation increases efficiency and reduces dependence on the workforce.",Business,"Technical, Business, Economic"
Requirements specification: Precisely defining the requirements for a new system can be challenging due to the complexity of manufacturing processes and the diverse needs of different departments,Technical,"Technical, Business"
"Integration of existing systems: New solutions must be integrated with existing systems, which may require adjustments and additional resources.",Technical,"Technical, Business, Economic"
Challenge is Monitoring technological progress: Keeping pace with the latest technological trends and selecting appropriate technologies to improve production efficiency and quality.,Business,"Technical, Business, Economic"
Implementing innovative ways to automate processes can require significant investment and employee training,Business,"Business, Economic, Technical"
"It is necessary to maintain the system continuously and not only when a problem arises, also in maintenance now and its improvement.",Technical,"Technical, Business"
Regular maintenance: Constant maintenance of equipment and software is required to ensure smooth production.,Technical,"Technical, Business"
Software and equipment updates: Introducing regular updates of software solutions to improve the functionality and security of systems and equipment,Technical,"Technical, Business"
Connecting different systems: Ensuring compatibility between new and existing systems can be challenging and requires expertise in software and hardware integration.,Technical,"Technical, Business"
Data Integration: Ensuring data integrity when transferred between different systems to avoid data loss.,Technical,"Technical, Business"
"Process change (eg integration of a new system) requires employees to adapt to new processes and technologies, and may require extensive training and adjustment time.",Social,"Business, Technical, Social"
"In the integration of new systems, it is also very good to promote a culture of innovation and talk to system users for easier acceptance of changes within the company in order to facilitate the transition to new systems.",Business,"Business, Social, Technical"
The time required for new users (employees) to be able to use the system independently and efficiently should be as short as possible.,Technical,"Business, Technical"
Ease of use: New systems must be intuitive and easy to use to ensure a high level of acceptance among users.,Technical,"Technical, Social, Business"
"User support: Ensuring adequate support for users when introducing new functionalities and users, including training and technical support.",Social,"Technical, Business, Social"
"The development, maintenance and integration of systems in a brewery presents a series of challenges that require careful planning and management. The key to success lies in understanding the needs of the company, choosing appropriate technologies, continuous monitoring and optimization of the process, and ensuring it adequate support and training for all system users.",Business,"Technical, Business, Economic"
"some processes require employees entirely and their speed and attention affect the speed and quality of production, while some are fully automated by robots",Technical,"Technical, Business, Social"
the employee had to spend some time to even get to the control panel where he had to start every few minutes or stop different processes.,Technical,"Technical, Business"
Each sub-process is physically separate and requires workers to manually open and close pipes,Technical,"Technical, Business"
the sub-processes within the real factory context do not have any mutual communication because they do not even have a complete physical connection where one could affect the other,Technical,"Technical, Business"
"Due to the automatic disconnection, there is no central system where data could be collected and thus the cloud function is not used, there is one person who supervises all sub-processes and tests, and we can consider her as a central system for monitoring all subprocesses, which is very inefficient because it is a production factory and quite large, so a lot of time is wasted just moving through that factory",Technical,"Technical, Business, Economic"
"Introduction of AI""brain"" of the device can improve for additional speed and precision of manufacturing operations.",Technical,"Technical, Business, Economic"
"A BEER PALLET STORAGE MONITORING SYSTEM an IoT based technology innovation. The pallets would be equipped with a sensor that would record the time when the beer was placed on the pallet and in what quantities. Also, each pallet would have a GPS locator. This system would provide forklift drivers with information about where the pallet is, what beer is on it, the quantity and the date it was filled. Ultimately, the system helps to ensure that the beer that was made first is picked up first so that beer does not stay in the warehouse for a long time, and speeds up the process of loading beer onto trucks. Each pallet is equipped with a GPS locator and an RFID tag. As pallets are moved within the factory, their location is constantly updated via GPS tracking devices. RFID readers at strategic points (egwarehouse entrance/exit) check IDs and pallet movement. GPS and RFID data are sent to the central data processing system, which processes the data and monitors the location and status of each pallet. Forklift drivers use mobile devices or tablets on which they receive instructions on where to place or retrieve pallets based on the 'first in, first out' principle. . The system alerts drivers if an older pallet needs to be moved before a new one, ensuring proper stock rotation.",Technical,"Technical, Business, Economic"
"IoT makes it possible to analyze and collect a large amount of data through various sensors in various plants, by implementing a program for collecting and processing this data and analyzing it, it is possible to detect possible irregularities in the process production. In this way, it would be possible to react in time to the detected error, which ultimately increases productivity and reduces production costs. IoT sensors installed in different stages of the production process (e.g. brewing beer, fermentation, packaging) collect data on parameters such as temperature, pressure and flow rates. The data is transferred to data storage systems, which are usually located on cloud platforms. Big Data analytical platforms process the collected data. Machine learning and artificial intelligence algorithms analyze data to predict potential problems in the manufacturing process. Control panels allow workers in the plant to closely monitor the production process, enabling quick responses to the appearance of any irregularities. By analyzing historical and real-time data, equipment failures can be predicted to avoid unexpected downtime. Ultimately, this system leads to an increase in productivity and a reduction in costs.",Technical,"Technical, Business, Economic"
"one of the main problems that appears in the real factory context is the training of new employees in the production process. The implementation of emerging technologies enables learning in an interactive way and enables participants to gain an easier idea of how things work in the production process. By using augmented reality, participants can practice work activities in real time, at their own pace and without pressure from customers, managers and other expectations. AR allows new employees to practice tasks without the risk of injury or jeopardizing the business process. Augmented reality implementation for employee education includes wearable augmented reality glasses. These glasses allow employees to see digital information and virtual objects alongside physical world objects, enabling interaction with simulated environments and tasks. In this way, AR would enable the design of interactive training scenarios and the simulation of beer production processes. It would also make it possible to track employee progress on the effectiveness of the training program and identify areas for improvement.",Technical,"Technical, Business, Economic, Social"
"one of the planned innovations is the implementation of a single line for filling glass and aluminum packaging. By using CPS, it is recognized whether it is glass or tin packaging and thus the filling method is automatically adjusted. The technology required would include computer vision to recognize packaging and robotic arms and conveyors to handle different types and sizes of bottles. The implementation of Cyber-Physical Systems (CPS) automatically recognizes the type of packaging and adjusts the filling method accordingly. As the packaging enters the filling line, sensors (optical, RFID, barcode scanners) identify whether it is glass or aluminum packaging. Based on the identified package type, the control system adjusts the filling parameters. For glass bottles, slower filling speeds and reduced pressure may be included to prevent breakage. Higher filling speeds and different pressure settings can be used for aluminum cans. Actuators and smart filling nozzles make the necessary adjustments in real time, can adjust filling speed, volume and pressure to suit glass or aluminum packaging. The system continuously monitors the charging process using sensors and provides feedback. The interface provides alerts and
notifications about system performance, maintenance needs, and potential problems.",Technical,"Technical, Business, Economic"
"complexity is actually the relationship between workers and workers and workers and machines. Namely, workers work alternately with machines, for example, workers (depending on conditions such as humidity and temperature) add ingredients to the mixture, the mixture is then mixed by the machine and then another machine forms the mixture and finally the worker checks the shapes that the machine made. Then, if everything is in order, put the cookies on the baking sheet.",Technical,"Technical, Business, Social"
"The system should meet quality criteria, quantity requirements, maximum utilization of ingredients.",Technical,"Technical, Business, Economic"
The system should meet satisfaction and knowledge (6 months of training) of workers.,Social,"Business, Social, Technical"
The system should meet price competitiveness and customer satisfaction at the same time. ,Economic,"Business, Economic"
" The entire system is expected to deliver consistent and uniform cookies, i.e. products to users. ",Business,"Technical, Business"
"The system should meet quality criteria, and that they fulfill certificates for quality and hygiene.",Business,"Technical, Business, Ethical"
"Procurement and management of stocks and their storage, which would mean the procurement of quality food (cocoa, margarine, coconut, algae, flour, etc.)",Business,"Business, Technical"
"Production of cookies; minimal automation (packaging, mixing dough), ensuring hygienic conditions (caps, gloves, corners).",Technical,"Technical, Business, Ethical"
"Quality control; each batch is tasted and checked to see if it meets the criteria, cookies are sent for testing to check the expiration date.",Business,"Technical, Business, Ethical"
"Distribution; distribution of finished products to many stores (ŠPAR, DM, Konzum, Plodine, BioBio), production of special packaging (ŠPAR)",Business,"Business, Technical"
"Human resource management; issuance of bonuses, employee training…",Business,"Business, Social"
Marketing and sales; going to meetings and fairs.,Business,"Business, Social"
"Quality raw materials and suppliers; direct procurement from Indonesia, knowledge of traders.",Business,"Business, Economic, Technical"
"Modernized production line; newer mixers, ovens, refrigerators, sorters, etc.",Business,"Technical, Business, Economic"
"Standardized processes; quality control (baking, mixing, etc.), hygiene, adherence to rules, safety at work.",Technical,"Technical, Business, Ethical"
Trained workers.,Social,"Business, Social"
"Customer feedback; they take good thoughts from customers and set them as the thought of the day, and give away a gift package as a reward.",Social,"Business, Social, Ethical"
"Because due to less production, they cannot compete with the big brands in the market and also cannot provide a large amount of stock for each facility they deal with.",Business,"Business, Economic"
"The problem is that many people do not know about these particular producer company and their products. This is precisely because they can't produce a large amount, so stores don't put them in prime positions so most people don't even see their products.",Business,"Business, Economic, Social"
"Investment in advanced CPS for dough mixing and cooling processes to reduce manual labor. High advantage because it would significantly speed up production, high consistency because it is very consistent",Technical,"Technical, Business, Economic"
Implementing an IoT solution to monitor the entire production process in real time to optimize work efficiency and reduce downtime. ,Technical,"Technical, Business, Economic"
"Implementation of a data analytics system so that data can be used for predictive maintenance and quality control. Implementation of AI for quality control-high advantage because it would significantly reduce the number of observed errors and improve the quality of products, medium consistency because although it would find differences in the produced cookies, it would not directly change the consistency of the produced cookies. Very high complexity because that AI needs to learn",Technical,"Technical, Business, Economic"
Data collection and presentation of processed data for the purpose of improving work and agreeing on new collaborations.,Technical,"Technical, Business, Economic, Social"
Introducing training for the use of AR to employees in order to reduce the rate of errors.,Technical,"Business, Technical, Social"
Professional training of employees.,Social,"Business, Social, Ethical"
Adding feedback options from customers,Technical,"Business, Technical"
Introducing automatisation into machinery processes i.e. Setting up a conveyor belt/sorting machine,Technical,"Technical, Business, Economic"
"legible code full of comments,",Technical,Technical
"as much code as possible is built in-house. Because, Laws depend on how much other people's code can be legally used for commercial or personal purposes. There are, of course, warmers, I didn't know or it wasn't written or something, but there is always some kind of  rule that is drawn inside those dependencies. Furthermore, when the company owns code and can work with it as it wants, when it wants, it doesn't have to be a company, it can be a freelancer who deals with it or something, who is the owner of his own code, so that he doesn't depend on someone else's update that will do everything to destroy or about something else.",Technical,"Technical, Business, Legal, Economic"
cleaner code is commented code and this is the responsibility of software developer towards its colleagues who will work on the same code in the future.,Technical,"Technical, Ethical"
"Professional software developer should understand the responsible Code reuse because actually endangers the rights that the original creator of that code actually gave away under I don't know, don't use it for commercial purposes, it's being sold, whether it's small sums of money or big or it's being given away for free, and it wouldn't be should, it doesn't matter at all. But the mere use that is inside that software, whatever it was created, is a violation of rights.",Ethical,"Technical, Ethical"
"In complex systems it is very important the simplicity of the software itself, that everything is not messed up, but somehow logically arranged.",Technical,"Technical, Business"
"certain type of specialization of software developer is needed to develop responsible systems. E.g. database that learns from some of the mistakes made by people before him, before him. While they were working like that, there should be some basis of good practices that form such kind of specialisation and then, on the basis of that base, the same systematization of some knowledge",Technical,"Technical, Business, Ethical"
"In software that serves a critical mission system, there have to be protocols that are precisely specifing the laws that define behaviors, similarly as in telecommunications systems.",Technical,"Technical, Business, Ethical"
"Specification of the requirements is like the specification of the law. So, it is very important that the requirements are written unambiguously. No ambiguity, short, clear.",Technical,"Technical, Ethical"
"ChatGPT may write a code himself, more or less but for good code human have to control this writing and human have to know how to define him task. Here we can reuse best practices from layers proffession. ",Ethical,"Technical, Business, Ethical"
"An inside view for complex systems development is needed because when you look from outside everything looks beautiful, meaningful and easy to implement. However, when you visit an real case scenario and talk with personel and see all the process interactions then you realize its complexity and how difficult it may be to addess all the requirements for its technological evolution",Technical,"Technical, Business, Social"
"Implementation of new technology also depend of the context where it is planned. For example, from the financial side, from the side of the particular factory, it may be extremely difficult for some small factories to bear financially and there is no much such kind of workplace that could benefit incorporating modern technology. In this concrete example I think the factory is just not developed enough for such big confirmations because they're just not awareof how much it would actually definitely help, because at the end of the day we're always turning to technology. Whether they are looking for an excuse in terms of finances, the difficulty of implementation or something else, there will always be some kind of excuse, and now I personally think that a couple of innovations that they gave you would always help.",Economic,"Technical, Business, Economic, Social"
" The biggest problem with innovations based on the new technologies, because people are affraid they will lose their jobs, and robots will replace them and some other competencies will be needed. Education system should be adapted to this new technology revolution, basic education should better integrate understanding of new technologies, how to use them, what we can get from them. Lowest criterion for workers will be raised in connection with financial and technological education.",Social,"Social, Economic, Business, Technical"
"Software may take under control a big portion of factory processes but as the software is taking more and more control the greater the responsibility of the software is, and the greater the consequences are from possible software errors. ",Technical,"Technical, Business, Ethical"
Smaller companies that have smaller goals and large companies with big goals have different criteria for the software that they would like to take for any very bright business.,Business,"Business, Technical"
"While implementing complex systems the real factory visit is important because you can see interaction with other processes and you can realize some cases that you can not even think of in the classroom. E.g. if you imagine a robotic arm working alone you will think idealistically, however, when you come to the real factory you start thinking about what would happen if there is a break, or if there are some maintenance levels, that the reliability of that hand is not 100%, that it can become obsolete, that these are some kind of real problems.",Technical,"Technical, Business, Economic"
